ZIP Code,ED Visits,Rate
10001,778,129.9
10002,"1,478",90.1
10003,353,26.5
10004,29,31.4
10005,14,5.4
10006,6,5.6
10007,18,5
10009,"1,477",104.2
10010,151,20.2
10011,346,29.8
10012,45,8.4
10013,140,22.5
10014,86,11.8
10016,701,52.4
10017,94,24.5
10018,69,39.1
10019,442,44.5
10021,43,5.3
10022,90,14
10023,386,26.9
10024,270,24.4
10025,"1,897",101.3
10026,"1,525",202.6
10027,"2,583",193.2
10028,90,9.5
10029,"4,375",279.7
10030,"1,636",297.7
10031,"1,183",98.5
10032,"1,172",96.9
10033,759,70.1
10034,586,73.5
10035,"1,988",268.4
10036,334,48.7
10037,"1,239",333.1
10038,551,106.9
10039,"1,549",290.1
10040,450,55.8
10044,46,16.1
10128,341,27.5
10280,7,6.4
10451,"2,969",319.9
10452,"2,945",194.1
10453,"2,934",183.7
10454,"2,236",308.3
10455,"2,303",281.5
10456,"4,588",268
10457,"3,800",272.8
10458,"2,863",178.2
10459,"2,046",213.1
10460,"2,706",243.6
10461,911,94.2
10462,"1,780",110
10463,877,66.3
10464,33,40.6
10465,650,80.3
10466,"2,683",200.9
10467,"3,576",185.3
10468,"1,829",122.8
10469,"1,508",117.8
10470,584,197.1
10471,164,39.4
10472,"1,893",147.6
10473,"1,756",151.7
10474,565,105
10475,634,69.1
11201,810,65.5
11203,"2,355",159.1
11204,286,19.6
11205,"1,010",114.5
11206,"2,489",142.4
11207,"4,155",217.2
11208,"2,843",147.7
11209,402,29.7
11210,933,75.5
11211,762,37
11212,"4,331",260.8
11213,"1,926",154.3
11214,406,23.7
11215,452,32.2
11216,"1,738",145.9
11217,657,84
11218,372,25.9
11219,341,22.1
11220,889,44.2
11221,"2,690",156.7
11222,348,38.3
11223,732,49.3
11224,"1,255",149.3
11225,"1,234",106.6
11226,"2,442",120.3
11228,139,17.1
11229,513,34.4
11230,610,42.4
11231,476,65.8
11232,306,48.7
11233,"2,878",207.6
11234,"1,150",68.9
11235,527,35.3
11236,"2,128",113
11237,"1,108",102.1
11238,814,71.3
11239,397,150.3
11004,42,16.8
11005,,
11101,585,86.8
11102,531,66
11103,208,24.3
11104,112,19
11105,230,28.9
11106,518,60.2
11109,300,70
11354,289,24.3
11355,379,21.2
11356,152,31
11357,90,12.4
11358,149,19.6
11359,,
11360,32,9.8
11361,91,15.6
11362,51,14.7
11363,9,6.6*
11364,70,10.1
11365,347,41.7
11366,74,28.2
11367,266,33.6
11368,"1,028",44.1
11369,376,49.4
11370,218,36
11372,475,35.4
11373,603,27.9
11374,222,25.7
11375,268,20.1
11377,571,30.1
11378,199,28.6
11379,135,19.5
11385,991,48.7
11411,230,66.6
11412,783,114.3
11413,667,85.8
11414,154,32.1
11415,108,26.6
11416,349,66.9
11417,311,52.6
11418,418,56.2
11419,507,52.7
11420,544,58.1
11421,478,58.8
11422,424,65.5
11423,405,69
11426,82,21.2
11427,162,36.3
11428,153,40.8
11429,372,75.2
11432,679,53.1
11433,783,114.8
11434,"1,233",104.5
11435,794,72.1
11436,376,102.7
11691,"1,715",155.2
11692,663,163.3
11693,196,77.5
11694,169,42.9
11697,6,8.6
10301,944,123.1
10302,444,122.5
10303,742,139.1
10304,895,111.5
10305,505,63.7
10306,363,35.2
10307,64,22.4
10308,135,26
10309,116,16.7
10310,634,136.8
10312,225,20.4
10314,680,43
